Row;Previous Coordinates;Current Coordinates;Current Road;Target Road;Detected Road;Result;Iterations;AltUsed;City
42;"37.981784,23.737087";"37.981747,23.737009";Massalias;Skoufa;Solonos / Solonos;FAIL;0;NO;Athens
43;"37.978119,23.740486";"37.978215,23.74042";Tsakalof;Irakleitou;Irakleitou;PASS;0;NO;Athens
44;"37.977301,23.743434";"37.977326,23.743537";Alopekis;Loukianou;Loukianoy;PASS;0;NO;Athens
45;"37.964163,23.748121";"37.964088,23.748005";Filolaou;Olimpiados;Aryvvou / Aryvvou;FAIL;0;NO;Athens
46;"37.963267,23.749297";"37.963362,23.749207";Alketou;Iliados;Iliados;PASS;0;YES;Athens
47;"37.961302,23.748012";"37.96137,23.747938";Kontoliou;Filoktitou;Filoktitou;PASS;0;NO;Athens
48;"37.960696,23.746717";"37.9606,23.74657";Charidimou;Eumenous;Evmenous;PASS;0;NO;Athens
49;"37.959574,23.742855";"37.959437,23.742814";Agiou Artemiou;Megasthenous;Anatoliou / Anatoliou;FAIL;0;NO;Athens
50;"37.956539,23.767544";"37.95648,23.767392";Aiolou;Thiseos;Antaiou / Agiou Ioannou Karea;FAIL;0;NO;Athens
51;"38.09362,23.81852";"38.09355,23.818673";Smirnis;Efesou;Efesou;PASS;0;NO;Athens
52;"38.034345,23.836342";"38.034415,23.836243";Pindou;Salaminos;Thermopylon / Thermopylon;FAIL;0;NO;Athens
53;"38.028325,23.817542";"38.028177,23.81741";Artemisiou;Pellis;Pellis;PASS;0;NO;Athens
54;"38.017602,23.829854";"38.017696,23.829774";Tinou;Kanari;Kanari;PASS;0;NO;Athens
55;"37.989598,23.721817";"37.989588,23.72188";Kritis;Chiou;Sfakion / Psaron;FAIL;0;NO;Athens
56;"37.989764,23.720821";"37.989733,23.721013";Kritis;Samou;Samou;PASS;0;NO;Athens
57;"37.985697,23.727428";"37.98572,23.727323";Veranzerou;Sokratous;Sokratous;PASS;0;NO;Athens
58;"37.981223,23.72619";"37.981238,23.726091";Sofokleous;Sokratous;Geraniou / Plateia Theatrou;FAIL;0;NO;Athens
59;"37.979845,23.72793";"37.979791,23.727913";Filopoimenos;Euripidou;UNKNOWN / UNKNOWN;FAIL;0;NO;Athens
60;"37.975402,23.72821";"37.975428,23.728108";Pandrosou;Kapnikareas;Aiolou / Aiolou;FAIL;0;NO;Athens
61;"37.975221,23.732593";"37.975235,23.732469";Mitropoleos;Voulis;Pentelis / UNKNOWN;FAIL;0;NO;Athens
62;"37.964514,23.748723";"37.964464,23.748635";Filolaou;Alketou;Alketou;PASS;0;NO;Athens
63;"37.968368,23.745345";"37.968314,23.745335";Nikosthenous;Eutichidou;Evtychidou;PASS;0;NO;Athens
64;"37.966921,23.741744";"37.967035,23.741964";Archimidous;Empedokleous;Aratou / UNKNOWN;FAIL;0;NO;Athens
65;"37.955511,23.706632";"37.955371,23.706406";Sofokleous;Ifigeneias;Ifigeneias;PASS;0;NO;Athens
66;"37.95111,23.701234";"37.951048,23.701287";Chiou;Andromachis;Dimosthenous / Agnostou Stratiotou;FAIL;0;NO;Athens
67;"37.949665,23.700907";"37.949513,23.700713";Dimosthenous;Spartis;Spartis;PASS;0;NO;Athens
68;"37.949773,23.695461";"37.94969,23.695572";Athinas;Ksenofontos;Kekropos / Kekropos;FAIL;0;NO;Athens
69;"40.601311,22.951784";"40.601347,22.951966";Koromila;Kimonos Boga;Koromila / UNKNOWN;FAIL;0;NO;Thessaloniki
70;"40.601674,22.95237";"40.601749,22.952322";Kimonos Bog;Kriezotou;Kriezotou;PASS;0;YES;Thessaloniki
71;"40.602193,22.951376";"40.602226,22.951592";Maurokordatou;Kimonos Boga;Kimonos Voga;PASS;0;NO;Thessaloniki
72;"40.604217,22.958426";"40.604311,22.958387";Delfwn;Petrou Sindika;Petrou Syndika;PASS;0;NO;Thessaloniki
73;"40.604926,22.961383";"40.604781,22.961441";I Kondilaki;Miltiadou Malakasi;Miltiadi Malakasi;PASS;0;NO;Thessaloniki
74;"40.605767,22.961166";"40.605781,22.96125";Sot Skipi;Gamvetta;Gamvetta;PASS;0;NO;Thessaloniki
75;"40.606265,22.960961";"40.606305,22.96113";Artemidos;Gamvetta;Gamvetta;PASS;0;NO;Thessaloniki
76;"40.607301,22.961117";"40.607426,22.961065";Gamvetta;Tompazi;Tobazi;PASS;0;NO;Thessaloniki
77;"40.607866,22.960661";"40.607863,22.960492";Tompazi;Solonos;Solonos;PASS;0;NO;Thessaloniki
78;"40.607447,22.960115";"40.607575,22.960158";Solonos;Tompazi;Tobazi;PASS;0;NO;Thessaloniki
79;"40.607853,22.959869";"40.607851,22.959664";Tompazi;Makedonias;Makedonias;PASS;0;NO;Thessaloniki
80;"40.608654,22.958354";"40.608546,22.958383";Stamatiou;Tompazi;Tobazi;PASS;0;NO;Thessaloniki
81;"40.607824,22.957962";"40.607815,22.957795";Tompazi;Delfon;Delfon;PASS;0;NO;Thessaloniki
82;"40.60868,22.956175";"40.608658,22.956374";Andreopoulou;Mikinwn;Mykinon;PASS;0;NO;Thessaloniki
83;"40.608559,22.956913";"40.608511,22.957204";Andreopoulou;Delfon;Delfon;PASS;0;YES;Thessaloniki
84;"40.608269,22.956063";"40.608422,22.956054";Xalkidikis;Andreopoulou;Andreopoylou;PASS;0;NO;Thessaloniki
85;"40.609322,22.954691";"40.609339,22.954599";Kosma;Androutsou;Orestou / Vasilissis Olgas;FAIL;0;NO;Thessaloniki
86;"40.609805,22.954736";"40.609798,22.954951";Orestou;Mouzoukiou;Mouzakiou;PASS;0;NO;Thessaloniki
87;"40.622386,22.9734";"40.622351,22.973152";Athanasiou D;Ipsilantou;Ypsilantou;PASS;0;NO;Thessaloniki
88;"40.622364,22.973275";"40.622386,22.973445";Athanasiou D;Karaiskaki;Karaiskaki;PASS;0;NO;Thessaloniki
89;"40.622687,22.974248";"40.622813,22.974355";Miaouli;Agiou Spiridonos;Agiou Spyridonos;PASS;0;NO;Thessaloniki
90;"40.624313,22.973816";"40.624462,22.973857";Kolokotroni;Riga Feraiou;Riga Feraiou;PASS;0;NO;Thessaloniki
91;"38.228633,21.745021";"38.228702,21.745072";Oropou;Maurovouniou;Mavrovouniou;PASS;0;YES;Patra
92;"38.230141,21.751808";"38.230054,21.751927";Kox;Arginouson;Arginouson;PASS;0;NO;Patra
93;"38.235337,21.742755";"38.235331,21.742914";Pontou;Fanariou;Fanariou;PASS;0;NO;Patra
94;"38.236384,21.744146";"38.236375,21.744022";Fwkaias;Fanariou;Fanariou;PASS;0;NO;Patra
95;"38.238264,21.743428";"38.238335,21.743307";Karatza;Danailidos;Daniilidos;PASS;0;NO;Patra
96;"38.238412,21.742437";"38.238484,21.742495";Kwn Palaiologou;Karatza;Karatza;PASS;0;NO;Patra
97;"38.238992,21.742829";"38.239104,21.742909";Kwn Palaiologou;Dim Gounari;Goynari;PASS;0;NO;Patra
98;"38.242414,21.741497";"38.242457,21.74138";Pantokratoros;Lontou;Lontou;PASS;0;NO;Patra
99;"38.247023,21.736722";"38.247105,21.736813";Korinthou;Agiou Nikolaou;Agiou Nikolaou;PASS;0;NO;Patra
100;"38.24717,21.739063";"38.24725,21.738974";Kolokotroni;Kanakari;Kanakari;PASS;0;NO;Patra
