Previous Coordinates;Current Coordinates;Current Road;Target Road;Google Maps Link;City
37.974390, 23.752341;37.974501, 23.752244;;;https://www.google.com/maps/dir/37.974390,23.752341/37.974501,23.752244;Athens
37.984597, 23.752700;37.984730, 23.752734;;;https://www.google.com/maps/dir/37.984597,23.752700/37.984730,23.752734;Athens
37.967819, 23.700543;37.967932, 23.700636;;;https://www.google.com/maps/dir/37.967819,23.700543/37.967932,23.700636;Athens
38.001234, 23.709216;38.001328, 23.709340;;;https://www.google.com/maps/dir/38.001234,23.709216/38.001328,23.709340;Athens
37.969754, 23.731770;37.969889, 23.731769;;;https://www.google.com/maps/dir/37.969754,23.731770/37.969889,23.731769;Athens
37.991814, 23.705899;37.991887, 23.705754;;;https://www.google.com/maps/dir/37.991814,23.705899/37.991887,23.705754;Athens
37.992683, 23.713953;37.992584, 23.714025;;;https://www.google.com/maps/dir/37.992683,23.713953/37.992584,23.714025;Athens
37.960157, 23.738353;37.960203, 23.738514;;;https://www.google.com/maps/dir/37.960157,23.738353/37.960203,23.738514;Athens
37.997518, 23.708875;37.997395, 23.708715;;;https://www.google.com/maps/dir/37.997518,23.708875/37.997395,23.708715;Athens
37.996198, 23.736998;37.996301, 23.737108;;;https://www.google.com/maps/dir/37.996198,23.736998/37.996301,23.737108;Athens
37.977751, 23.755465;37.977727, 23.755584;;;https://www.google.com/maps/dir/37.977751,23.755465/37.977727,23.755584;Athens
37.986463, 23.719291;37.986474, 23.719461;;;https://www.google.com/maps/dir/37.986463,23.719291/37.986474,23.719461;Athens
37.991983, 23.726227;37.991989, 23.726056;;;https://www.google.com/maps/dir/37.991983,23.726227/37.991989,23.726056;Athens
38.002873, 23.712775;38.002847, 23.712943;;;https://www.google.com/maps/dir/38.002873,23.712775/38.002847,23.712943;Athens
37.957661, 23.735636;37.957531, 23.735680;;;https://www.google.com/maps/dir/37.957661,23.735636/37.957531,23.735680;Athens
37.993839, 23.716941;37.993947, 23.716839;;;https://www.google.com/maps/dir/37.993839,23.716941/37.993947,23.716839;Athens
37.961686, 23.743675;37.961764, 23.743814;;;https://www.google.com/maps/dir/37.961686,23.743675/37.961764,23.743814;Athens
37.972813, 23.706545;37.972726, 23.706414;;;https://www.google.com/maps/dir/37.972813,23.706545/37.972726,23.706414;Athens
37.966792, 23.749142;37.966901, 23.749040;;;https://www.google.com/maps/dir/37.966792,23.749142/37.966901,23.749040;Athens
37.966013, 23.702402;37.965928, 23.702534;;;https://www.google.com/maps/dir/37.966013,23.702402/37.965928,23.702534;Athens
37.989497, 23.730679;37.989325, 23.730637;;;https://www.google.com/maps/dir/37.989497,23.730679/37.989325,23.730637;Athens
37.978989, 23.710337;37.979159, 23.710370;;;https://www.google.com/maps/dir/37.978989,23.710337/37.979159,23.710370;Athens
38.002030, 23.706598;38.002127, 23.706480;;;https://www.google.com/maps/dir/38.002030,23.706598/38.002127,23.706480;Athens
37.966427, 23.703614;37.966548, 23.703690;;;https://www.google.com/maps/dir/37.966427,23.703614/37.966548,23.703690;Athens
37.971869, 23.757215;37.971837, 23.757415;;;https://www.google.com/maps/dir/37.971869,23.757215/37.971837,23.757415;Athens
37.976169, 23.734296;37.976138, 23.734251;;;https://www.google.com/maps/dir/37.976169,23.734296/37.976138,23.734251;Athens
38.002935, 23.725422;38.002801, 23.725394;;;https://www.google.com/maps/dir/38.002935,23.725422/38.002801,23.725394;Athens
37.957045, 23.723337;37.956945, 23.723452;;;https://www.google.com/maps/dir/37.957045,23.723337/37.956945,23.723452;Athens
37.964151, 23.720121;37.964150, 23.720292;;;https://www.google.com/maps/dir/37.964151,23.720121/37.964150,23.720292;Athens
37.959615, 23.741103;37.959696, 23.741240;;;https://www.google.com/maps/dir/37.959615,23.741103/37.959696,23.741240;Athens
37.981805, 23.759986;37.981687, 23.760070;;;https://www.google.com/maps/dir/37.981805,23.759986/37.981687,23.760070;Athens
37.994429, 23.752836;37.994316, 23.752928;;;https://www.google.com/maps/dir/37.994429,23.752836/37.994316,23.752928;Athens
37.979669, 23.747007;37.979797, 23.746955;;;https://www.google.com/maps/dir/37.979669,23.747007/37.979797,23.746955;Athens
37.985548, 23.756006;37.985473, 23.755863;;;https://www.google.com/maps/dir/37.985548,23.756006/37.985473,23.755863;Athens
37.958921, 23.719372;37.959001, 23.719258;;;https://www.google.com/maps/dir/37.958921,23.719372/37.959001,23.719258;Athens
37.976065, 23.714151;37.976102, 23.714111;;;https://www.google.com/maps/dir/37.976065,23.714151/37.976102,23.714111;Athens
38.005046, 23.747841;38.005008, 23.747865;;;https://www.google.com/maps/dir/38.005046,23.747841/38.005008,23.747865;Athens
37.976651, 23.741426;37.976784, 23.741454;;;https://www.google.com/maps/dir/37.976651,23.741426/37.976784,23.741454;Athens
37.981354, 23.716493;37.981289, 23.716344;;;https://www.google.com/maps/dir/37.981354,23.716493/37.981289,23.716344;Athens
37.994822, 23.745978;37.994715, 23.745869;;;https://www.google.com/maps/dir/37.994822,23.745978/37.994715,23.745869;Athens
37.974926, 23.730814;37.975061, 23.730822;;;https://www.google.com/maps/dir/37.974926,23.730814/37.975061,23.730822;Athens
37.970622, 23.713452;37.970572, 23.713611;;;https://www.google.com/maps/dir/37.970622,23.713452/37.970572,23.713611;Athens
37.959507, 23.722979;37.959600, 23.723103;;;https://www.google.com/maps/dir/37.959507,23.722979/37.959600,23.723103;Athens
37.981744, 23.760517;37.981678, 23.760368;;;https://www.google.com/maps/dir/37.981744,23.760517/37.981678,23.760368;Athens
37.998444, 23.717761;37.998462, 23.717592;;;https://www.google.com/maps/dir/37.998444,23.717761/37.998462,23.717592;Athens
37.983760, 23.733544;37.983858, 23.733426;;;https://www.google.com/maps/dir/37.983760,23.733544/37.983858,23.733426;Athens
37.961396, 23.721379;37.961367, 23.721212;;;https://www.google.com/maps/dir/37.961396,23.721379/37.961367,23.721212;Athens
37.991623, 23.726038;37.991488, 23.726032;;;https://www.google.com/maps/dir/37.991623,23.726038/37.991488,23.726032;Athens
37.999581, 23.721918;37.999570, 23.722088;;;https://www.google.com/maps/dir/37.999581,23.721918/37.999570,23.722088;Athens
37.984194, 23.738446;37.984122, 23.738301;;;https://www.google.com/maps/dir/37.984194,23.738446/37.984122,23.738301;Athens
38.007767, 23.745876;38.007667, 23.745906;;;https://www.google.com/maps/dir/38.007767,23.745876/38.007667,23.745906;Athens
38.001858, 23.746700;38.001760, 23.746817;;;https://www.google.com/maps/dir/38.001858,23.746700/38.001760,23.746817;Athens
38.005794, 23.708055;38.005853, 23.708183;;;https://www.google.com/maps/dir/38.005794,23.708055/38.005853,23.708183;Athens
38.001524, 23.751316;38.001570, 23.751476;;;https://www.google.com/maps/dir/38.001524,23.751316/38.001570,23.751476;Athens
37.963465, 23.711174;37.963474, 23.711345;;;https://www.google.com/maps/dir/37.963465,23.711174/37.963474,23.711345;Athens
37.978206, 23.758731;37.978109, 23.758612;;;https://www.google.com/maps/dir/37.978206,23.758731/37.978109,23.758612;Athens
37.991293, 23.710851;37.991224, 23.710704;;;https://www.google.com/maps/dir/37.991293,23.710851/37.991224,23.710704;Athens
37.983118, 23.722820;37.983000, 23.722902;;;https://www.google.com/maps/dir/37.983118,23.722820/37.983000,23.722902;Athens
37.998209, 23.745261;37.998117, 23.745136;;;https://www.google.com/maps/dir/37.998209,23.745261/37.998117,23.745136;Athens
37.985377, 23.744364;37.985248, 23.744314;;;https://www.google.com/maps/dir/37.985377,23.744364/37.985248,23.744314;Athens
37.990630, 23.747392;37.990761, 23.747436;;;https://www.google.com/maps/dir/37.990630,23.747392/37.990761,23.747436;Athens
37.975377, 23.704607;37.975370, 23.704778;;;https://www.google.com/maps/dir/37.975377,23.704607/37.975370,23.704778;Athens
37.969458, 23.723792;37.969515, 23.723637;;;https://www.google.com/maps/dir/37.969458,23.723792/37.969515,23.723637;Athens
38.002138, 23.736221;38.002113, 23.736389;;;https://www.google.com/maps/dir/38.002138,23.736221/38.002113,23.736389;Athens
38.003809, 23.706547;38.003674, 23.706536;;;https://www.google.com/maps/dir/38.003809,23.706547/38.003674,23.706536;Athens
37.969926, 23.756169;37.969958, 23.756003;;;https://www.google.com/maps/dir/37.969926,23.756169/37.969958,23.756003;Athens
37.968452, 23.730443;37.968398, 23.730601;;;https://www.google.com/maps/dir/37.968452,23.730443/37.968398,23.730601;Athens
38.003255, 23.738595;38.003221, 23.738757;;;https://www.google.com/maps/dir/38.003255,23.738595/38.003221,23.738757;Athens
37.994634, 23.699607;37.994575, 23.699499;;;https://www.google.com/maps/dir/37.994634,23.699607/37.994575,23.699499;Athens
37.962501, 23.727096;37.962600, 23.726979;;;https://www.google.com/maps/dir/37.962501,23.727096/37.962600,23.726979;Athens
37.980177, 23.759403;37.980176, 23.759232;;;https://www.google.com/maps/dir/37.980177,23.759403/37.980176,23.759232;Athens
37.963850, 23.712263;37.963819, 23.712096;;;https://www.google.com/maps/dir/37.963850,23.712263/37.963819,23.712096;Athens
37.998992, 23.752587;37.998860, 23.752551;;;https://www.google.com/maps/dir/37.998992,23.752587/37.998860,23.752551;Athens
37.978591, 23.760523;37.978490, 23.760636;;;https://www.google.com/maps/dir/37.978591,23.760523/37.978490,23.760636;Athens
37.966599, 23.709406;37.966475, 23.709338;;;https://www.google.com/maps/dir/37.966599,23.709406/37.966475,23.709338;Athens
37.971877, 23.745708;37.971858, 23.745878;;;https://www.google.com/maps/dir/37.971877,23.745708/37.971858,23.745878;Athens
37.979666, 23.753870;37.979764, 23.753987;;;https://www.google.com/maps/dir/37.979666,23.753870/37.979764,23.753987;Athens
37.976560, 23.738555;37.976426, 23.738530;;;https://www.google.com/maps/dir/37.976560,23.738555/37.976426,23.738530;Athens
37.997355, 23.730034;37.997223, 23.730001;;;https://www.google.com/maps/dir/37.997355,23.730034/37.997223,23.730001;Athens
37.987991, 23.753749;37.988017, 23.753610;;;https://www.google.com/maps/dir/37.987991,23.753749/37.988017,23.753610;Athens
37.975561, 23.698453;37.975552, 23.698624;;;https://www.google.com/maps/dir/37.975561,23.698453/37.975552,23.698624;Athens
37.998086, 23.729861;37.998218, 23.729896;;;https://www.google.com/maps/dir/37.998086,23.729861/37.998218,23.729896;Athens
37.984472, 23.702558;37.984410, 23.702710;;;https://www.google.com/maps/dir/37.984472,23.702558/37.984410,23.702710;Athens
37.995403, 23.733501;37.995432, 23.733314;;;https://www.google.com/maps/dir/37.995403,23.733501/37.995432,23.733314;Athens
37.999784, 23.743875;37.999694, 23.744003;;;https://www.google.com/maps/dir/37.999784,23.743875/37.999694,23.744003;Athens
38.002523, 23.706264;38.002436, 23.706133;;;https://www.google.com/maps/dir/38.002523,23.706264/38.002436,23.706133;Athens
37.994669, 23.712804;37.994546, 23.712875;;;https://www.google.com/maps/dir/37.994669,23.712804/37.994546,23.712875;Athens
38.004196, 23.750209;38.004331, 23.750212;;;https://www.google.com/maps/dir/38.004196,23.750209/38.004331,23.750212;Athens
37.985979, 23.732359;37.986051, 23.732504;;;https://www.google.com/maps/dir/37.985979,23.732359/37.986051,23.732504;Athens
37.959714, 23.736821;37.959839, 23.736734;;;https://www.google.com/maps/dir/37.959714,23.736821/37.959839,23.736734;Athens
37.991146, 23.732970;37.991014, 23.732937;;;https://www.google.com/maps/dir/37.991146,23.732970/37.991014,23.732937;Athens
37.997598, 23.756272;37.997694, 23.756201;;;https://www.google.com/maps/dir/37.997598,23.756272/37.997694,23.756201;Athens
37.968486, 23.725927;37.968351, 23.725943;;;https://www.google.com/maps/dir/37.968486,23.725927/37.968351,23.725943;Athens
37.960047, 23.740468;37.960158, 23.740371;;;https://www.google.com/maps/dir/37.960047,23.740468/37.960158,23.740371;Athens
37.958703, 23.737992;37.958713, 23.738024;;;https://www.google.com/maps/dir/37.958703,23.737992/37.958713,23.738024;Athens
37.991708, 23.756809;37.991839, 23.756852;;;https://www.google.com/maps/dir/37.991708,23.756809/37.991839,23.756852;Athens
38.000604, 23.711366;38.000730, 23.711428;;;https://www.google.com/maps/dir/38.000604,23.711366/38.000730,23.711428;Athens
37.979360, 23.741575;37.979430, 23.741428;;;https://www.google.com/maps/dir/37.979360,23.741575/37.979430,23.741428;Athens
37.983407, 23.728738;37.983293, 23.728830;;;https://www.google.com/maps/dir/37.983407,23.728738/37.983293,23.728830;Athens
37.990867, 23.749310;37.990997, 23.749354;;;https://www.google.com/maps/dir/37.990867,23.749310/37.990997,23.749354;Athens
37.982168, 23.756116;37.982303, 23.756123;;;https://www.google.com/maps/dir/37.982168,23.756116/37.982303,23.756123;Athens
37.964144, 23.721225;37.964143, 23.721396;;;https://www.google.com/maps/dir/37.964144,23.721225/37.964143,23.721396;Athens
38.008387, 23.714512;38.008288, 23.714396;;;https://www.google.com/maps/dir/38.008387,23.714512/38.008288,23.714396;Athens
37.967296, 23.702750;37.967234, 23.702902;;;https://www.google.com/maps/dir/37.967296,23.702750/37.967234,23.702902;Athens
37.980720, 23.706396;37.980650, 23.706543;;;https://www.google.com/maps/dir/37.980720,23.706396/37.980650,23.706543;Athens
37.973907, 23.714166;37.973960, 23.714008;;;https://www.google.com/maps/dir/37.973907,23.714166/37.973960,23.714008;Athens
37.986449, 23.755250;37.986419, 23.755417;;;https://www.google.com/maps/dir/37.986449,23.755250/37.986419,23.755417;Athens
37.964124, 23.746352;37.964234, 23.746253;;;https://www.google.com/maps/dir/37.964124,23.746352/37.964234,23.746253;Athens
37.995412, 23.717054;37.995546, 23.717079;;;https://www.google.com/maps/dir/37.995412,23.717054/37.995546,23.717079;Athens
37.959613, 23.732772;37.959577, 23.732607;;;https://www.google.com/maps/dir/37.959613,23.732772/37.959577,23.732607;Athens
38.003206, 23.741302;38.003135, 23.741219;;;https://www.google.com/maps/dir/38.003206,23.741302/38.003135,23.741219;Athens
38.004076, 23.723312;38.004097, 23.723143;;;https://www.google.com/maps/dir/38.004076,23.723312/38.004097,23.723143;Athens
37.986901, 23.724646;37.986769, 23.724611;;;https://www.google.com/maps/dir/37.986901,23.724646/37.986769,23.724611;Athens
37.971911, 23.757052;37.971869, 23.757215;;;https://www.google.com/maps/dir/37.971911,23.757052/37.971869,23.757215;Athens
37.967262, 23.699139;37.967337, 23.698997;;;https://www.google.com/maps/dir/37.967262,23.699139/37.967337,23.698997;Athens
37.982135, 23.753848;37.982093, 23.753908;;;https://www.google.com/maps/dir/37.982135,23.753848/37.982093,23.753908;Athens
37.984229, 23.727414;37.984259, 23.727229;;;https://www.google.com/maps/dir/37.984229,23.727414/37.984259,23.727229;Athens
37.989812, 23.745109;37.989680, 23.745074;;;https://www.google.com/maps/dir/37.989812,23.745109/37.989680,23.745074;Athens
37.997515, 23.738204;37.997434, 23.738340;;;https://www.google.com/maps/dir/37.997515,23.738204/37.997434,23.738340;Athens
37.991003, 23.741201;37.990871, 23.741167;;;https://www.google.com/maps/dir/37.991003,23.741201/37.990871,23.741167;Athens
37.969481, 23.742787;37.969587, 23.742681;;;https://www.google.com/maps/dir/37.969481,23.742787/37.969587,23.742681;Athens
37.959910, 23.736082;37.959783, 23.736138;;;https://www.google.com/maps/dir/37.959910,23.736082/37.959783,23.736138;Athens
37.992089, 23.752043;37.992058, 23.752209;;;https://www.google.com/maps/dir/37.992089,23.752043/37.992058,23.752209;Athens
37.998735, 23.704654;37.998627, 23.704757;;;https://www.google.com/maps/dir/37.998735,23.704654/37.998627,23.704757;Athens
38.006286, 23.740117;38.006419, 23.740150;;;https://www.google.com/maps/dir/38.006286,23.740117/38.006419,23.740150;Athens
37.998104, 23.727569;37.998238, 23.727567;;;https://www.google.com/maps/dir/37.998104,23.727569/37.998238,23.727567;Athens
37.985169, 23.754610;37.985038, 23.754570;;;https://www.google.com/maps/dir/37.985169,23.754610/37.985038,23.754570;Athens
37.973533, 23.755641;37.973539, 23.755502;;;https://www.google.com/maps/dir/37.973533,23.755641/37.973539,23.755502;Athens
37.991464, 23.709743;37.991527, 23.709894;;;https://www.google.com/maps/dir/37.991464,23.709743/37.991527,23.709894;Athens
40.647537, 22.961393;40.647441, 22.961517;;;https://www.google.com/maps/dir/40.647537,22.961393/40.647441,22.961517;Thessaloniki
40.655319, 22.954373;40.655343, 22.954515;;;https://www.google.com/maps/dir/40.655319,22.954373/40.655343,22.954515;Thessaloniki
40.639937, 22.943336;40.639924, 22.943317;;;https://www.google.com/maps/dir/40.639937,22.943336/40.639924,22.943317;Thessaloniki
40.622428, 22.959769;40.622495, 22.959923;;;https://www.google.com/maps/dir/40.622428,22.959769/40.622495,22.959923;Thessaloniki
40.645504, 22.925366;40.645424, 22.925284;;;https://www.google.com/maps/dir/40.645504,22.925366/40.645424,22.925284;Thessaloniki
40.652565, 22.955688;40.652456, 22.955584;;;https://www.google.com/maps/dir/40.652565,22.955688/40.652456,22.955584;Thessaloniki
40.650991, 22.927366;40.651116, 22.927434;;;https://www.google.com/maps/dir/40.650991,22.927366/40.651116,22.927434;Thessaloniki
40.654883, 22.923609;40.655013, 22.923654;;;https://www.google.com/maps/dir/40.654883,22.923609/40.655013,22.923654;Thessaloniki
40.626080, 22.959812;40.626120, 22.959982;;;https://www.google.com/maps/dir/40.626080,22.959812/40.626120,22.959982;Thessaloniki
40.657922, 22.959645;40.657956, 22.959688;;;https://www.google.com/maps/dir/40.657922,22.959645/40.657956,22.959688;Thessaloniki
40.658250, 22.961575;40.658165, 22.961713;;;https://www.google.com/maps/dir/40.658250,22.961575/40.658165,22.961713;Thessaloniki
40.642943, 22.952180;40.642862, 22.952237;;;https://www.google.com/maps/dir/40.642943,22.952180/40.642862,22.952237;Thessaloniki
40.649449, 22.926592;40.649490, 22.926761;;;https://www.google.com/maps/dir/40.649449,22.926592/40.649490,22.926761;Thessaloniki
40.635766, 22.960113;40.635697, 22.959961;;;https://www.google.com/maps/dir/40.635766,22.960113/40.635697,22.959961;Thessaloniki
40.648980, 22.928883;40.649109, 22.928829;;;https://www.google.com/maps/dir/40.648980,22.928883/40.649109,22.928829;Thessaloniki
40.659776, 22.957611;40.659807, 22.957622;;;https://www.google.com/maps/dir/40.659776,22.957611/40.659807,22.957622;Thessaloniki
40.642209, 22.950308;40.642128, 22.950451;;;https://www.google.com/maps/dir/40.642209,22.950308/40.642128,22.950451;Thessaloniki
40.630204, 22.964353;40.630319, 22.964512;;;https://www.google.com/maps/dir/40.630204,22.964353/40.630319,22.964512;Thessaloniki
40.646989, 22.956323;40.647011, 22.956212;;;https://www.google.com/maps/dir/40.646989,22.956323/40.647011,22.956212;Thessaloniki
40.644522, 22.957530;40.644534, 22.957708;;;https://www.google.com/maps/dir/40.644522,22.957530/40.644534,22.957708;Thessaloniki
40.643845, 22.965354;40.643858, 22.965531;;;https://www.google.com/maps/dir/40.643845,22.965354/40.643858,22.965531;Thessaloniki
40.639683, 22.959488;40.639648, 22.959567;;;https://www.google.com/maps/dir/40.639683,22.959488/40.639648,22.959567;Thessaloniki
40.636746, 22.949705;40.636614, 22.949744;;;https://www.google.com/maps/dir/40.636746,22.949705/40.636614,22.949744;Thessaloniki
40.639815, 22.961028;40.639855, 22.961197;;;https://www.google.com/maps/dir/40.639815,22.961028/40.639855,22.961197;Thessaloniki
40.642469, 22.931093;40.642574, 22.931189;;;https://www.google.com/maps/dir/40.642469,22.931093/40.642574,22.931189;Thessaloniki
40.653541, 22.930432;40.653419, 22.930509;;;https://www.google.com/maps/dir/40.653541,22.930432/40.653419,22.930509;Thessaloniki
40.638835, 22.938420;40.638739, 22.938333;;;https://www.google.com/maps/dir/40.638835,22.938420/40.638739,22.938333;Thessaloniki
40.654056, 22.920056;40.653970, 22.920194;;;https://www.google.com/maps/dir/40.654056,22.920056/40.653970,22.920194;Thessaloniki
40.634598, 22.959704;40.634592, 22.959696;;;https://www.google.com/maps/dir/40.634598,22.959704/40.634592,22.959696;Thessaloniki
40.657401, 22.947219;40.657367, 22.947392;;;https://www.google.com/maps/dir/40.657401,22.947219/40.657367,22.947392;Thessaloniki
40.657244, 22.949033;40.657349, 22.949146;;;https://www.google.com/maps/dir/40.657244,22.949033/40.657349,22.949146;Thessaloniki
40.633153, 22.950830;40.633093, 22.950847;;;https://www.google.com/maps/dir/40.633153,22.950830/40.633093,22.950847;Thessaloniki
40.657991, 22.956733;40.657910, 22.956699;;;https://www.google.com/maps/dir/40.657991,22.956733/40.657910,22.956699;Thessaloniki
40.652473, 22.948716;40.652578, 22.948827;;;https://www.google.com/maps/dir/40.652473,22.948716/40.652578,22.948827;Thessaloniki
40.652446, 22.958151;40.652519, 22.958270;;;https://www.google.com/maps/dir/40.652446,22.958151/40.652519,22.958270;Thessaloniki
40.651863, 22.938573;40.651947, 22.938712;;;https://www.google.com/maps/dir/40.651863,22.938573/40.651947,22.938712;Thessaloniki
40.655837, 22.939714;40.655907, 22.939827;;;https://www.google.com/maps/dir/40.655837,22.939714/40.655907,22.939827;Thessaloniki
40.654177, 22.925967;40.654089, 22.926102;;;https://www.google.com/maps/dir/40.654177,22.925967/40.654089,22.926102;Thessaloniki
40.643188, 22.955422;40.643234, 22.955465;;;https://www.google.com/maps/dir/40.643188,22.955422/40.643234,22.955465;Thessaloniki
40.641766, 22.944979;40.641679, 22.944861;;;https://www.google.com/maps/dir/40.641766,22.944979/40.641679,22.944861;Thessaloniki
40.628447, 22.952917;40.628451, 22.953095;;;https://www.google.com/maps/dir/40.628447,22.952917/40.628451,22.953095;Thessaloniki
40.656294, 22.951825;40.656167, 22.951884;;;https://www.google.com/maps/dir/40.656294,22.951825/40.656167,22.951884;Thessaloniki
40.639369, 22.953974;40.639457, 22.953840;;;https://www.google.com/maps/dir/40.639369,22.953974/40.639457,22.953840;Thessaloniki
40.646422, 22.922492;40.646305, 22.922403;;;https://www.google.com/maps/dir/40.646422,22.922492/40.646305,22.922403;Thessaloniki
40.652464, 22.928344;40.652571, 22.928452;;;https://www.google.com/maps/dir/40.652464,22.928344/40.652571,22.928452;Thessaloniki
40.641834, 22.948788;40.641761, 22.948900;;;https://www.google.com/maps/dir/40.641834,22.948788/40.641761,22.948900;Thessaloniki
40.647399, 22.931251;40.647377, 22.931257;;;https://www.google.com/maps/dir/40.647399,22.931251/40.647377,22.931257;Thessaloniki
40.651564, 22.934164;40.651699, 22.934173;;;https://www.google.com/maps/dir/40.651564,22.934164/40.651699,22.934173;Thessaloniki
40.638335, 22.947581;40.638447, 22.947681;;;https://www.google.com/maps/dir/40.638335,22.947581/40.638447,22.947681;Thessaloniki
40.650044, 22.958738;40.649935, 22.958841;;;https://www.google.com/maps/dir/40.650044,22.958738/40.649935,22.958841;Thessaloniki
40.648539, 22.962866;40.648455, 22.962929;;;https://www.google.com/maps/dir/40.648539,22.962866/40.648455,22.962929;Thessaloniki
40.657282, 22.956136;40.657385, 22.956251;;;https://www.google.com/maps/dir/40.657282,22.956136/40.657385,22.956251;Thessaloniki
40.648661, 22.947592;40.648757, 22.947467;;;https://www.google.com/maps/dir/40.648661,22.947592/40.648757,22.947467;Thessaloniki
40.629031, 22.950826;40.629142, 22.950927;;;https://www.google.com/maps/dir/40.629031,22.950826/40.629142,22.950927;Thessaloniki
40.645743, 22.943152;40.645747, 22.942974;;;https://www.google.com/maps/dir/40.645743,22.943152/40.645747,22.942974;Thessaloniki
40.644172, 22.936308;40.644098, 22.936457;;;https://www.google.com/maps/dir/40.644172,22.936308/40.644098,22.936457;Thessaloniki
40.648834, 22.937406;40.648937, 22.937522;;;https://www.google.com/maps/dir/40.648834,22.937406/40.648937,22.937522;Thessaloniki
40.629274, 22.950166;40.629368, 22.950265;;;https://www.google.com/maps/dir/40.629274,22.950166/40.629368,22.950265;Thessaloniki
40.655858, 22.924695;40.655983, 22.924762;;;https://www.google.com/maps/dir/40.655858,22.924695/40.655983,22.924762;Thessaloniki
40.649288, 22.940795;40.649308, 22.940655;;;https://www.google.com/maps/dir/40.649288,22.940795/40.649308,22.940655;Thessaloniki
40.648443, 22.960122;40.648566, 22.960058;;;https://www.google.com/maps/dir/40.648443,22.960122/40.648566,22.960058;Thessaloniki
40.652376, 22.921243;40.652325, 22.921407;;;https://www.google.com/maps/dir/40.652376,22.921243/40.652325,22.921407;Thessaloniki
40.645880, 22.959923;40.645826, 22.959892;;;https://www.google.com/maps/dir/40.645880,22.959923/40.645826,22.959892;Thessaloniki
40.655138, 22.938563;40.655272, 22.938548;;;https://www.google.com/maps/dir/40.655138,22.938563/40.655272,22.938548;Thessaloniki
40.641048, 22.952378;40.641061, 22.952345;;;https://www.google.com/maps/dir/40.641048,22.952378/40.641061,22.952345;Thessaloniki
40.630973, 22.967089;40.630885, 22.967119;;;https://www.google.com/maps/dir/40.630973,22.967089/40.630885,22.967119;Thessaloniki
40.640412, 22.935307;40.640339, 22.935456;;;https://www.google.com/maps/dir/40.640412,22.935307/40.640339,22.935456;Thessaloniki
40.649440, 22.944636;40.649534, 22.944764;;;https://www.google.com/maps/dir/40.649440,22.944636/40.649534,22.944764;Thessaloniki
40.641074, 22.930644;40.640995, 22.930788;;;https://www.google.com/maps/dir/40.641074,22.930644/40.640995,22.930788;Thessaloniki
40.635050, 22.947505;40.635163, 22.947603;;;https://www.google.com/maps/dir/40.635050,22.947505/40.635163,22.947603;Thessaloniki
